text,tag,split
"nr 33, i anledning av fullmäktiges i riksbanken framställning angående förhyrning samt reparation och inredning av vissa lokaler för riksbanken; samt",note,val
"nr 34, i anledning av fullmäktiges i riksgäldskontoret = framställning om pension för städerskorna vid riksdagshuset Beda Andersson och Ester Johansson;",note,train
"första lagutskottets utlåtande nr 35, i anledning av Kungl. Maj:ts proposition angående godkännande av en den 22",note,train
hemmamarknaden under 1970. Alla som ägde tillgängligt kapital försåg sig med varor som man kanske hade planerat att skaffa sig senare. En bidragande orsak var också den höjda mervärdeskatten från nyåret 1971.,seg,train
"Att sedan köplusten inte mobiliserades med samma styrka i fortsättningen är fullt naturligt med tanke på vad som förekommit och vad som fortfarande förekommer, nämligen en intensiv propaganda om näringslivets omöjliga framtid såvida vi inte får fullt medlemskap i EEC. I dessa avseenden måste jag dela på oppositionspartierna. Centern har med fullständig klarhet sagt att man instämmer i regeringens uppfattning beträffande anslutningen till EEC. Folkpartiet har avgivit en deklaration med i huvudsak samma innehåll, medan däremot moderaterna genom herr Bohman bestämt hävdar, att vi måste ha full anslutning om det svenska näringslivet skall kunna göra sig gällande på Europamarknaden. Man har rätt förmoda att detta skuggspel har sin roll i den s.k. profileringen. Någon nytta kan det inte åstadkomma, men väl motsatsen.",seg,train
"Oavsett propagandan föreligger verkliga svårigheter att i dag upprätthålla full sysselsättning. Inget industriland, stort eller litet, kan undvika påverkan av de ständigt pågående strukturförändringarna inom industrin. Påtagligt gör sig dessa gällande inom den grafiska industrin. Varslet vid Esselte är en typisk produkt av dessa strävanden. Samma sak påverkar även Facit AB i Åtvidaberg beträffande räknemaskinerna. Där kom, förmodar jag, den utländska övergången till elektroniska maskiner som en överraskning nära nog samtidigt som man i Åtvidaberg nyinvesterat och utvidgat sin mekaniska produktion i betydande omfattning.",seg,val
Liknande förändringar har skett och sker dagligen inom många grenar av vår produktion. Det finns absolut ingen anledning att beklaga att så sker. Dessa förändringar utgör nämligen bakgrunden till den höjda bruttonationalprodukt som vi alla önskar och som i sin tur utgör underlaget för att kunna höja vår levnadsstandard. Sådana förändringar får därför betraktas som normala i ett expanderande näringsliv.,seg,train
"Men frågan återstår: Vad finns det för reell anledning att försöka skylla dessa av strukturförändringar föranledda personalinskränkningar på regeringen i ett land där det enskilda näringslivet behärskar 95 procent av landets produktion? Eller menar man att det var regeringens skyldighet att tala om för den grafiska industrin att förändringar var att vänta? Eller menar man att regeringen skulle ha ingripit och förhindrat direktör Ericsson i Facit AB att nyinvestera med motiveringen att förändringar i denna industris produktion var att vänta? Nej, naturligtvis inte. Man väntar inte sådana ingripanden. Man skulle inte heller från näringslivets sida ha accepterat sådana ingripanden. Dessa två exempel kan mångfaldigas inom det starkt differentierade näringsliv som kännetecknar svensk industri.",seg,train
"Men var sak har två sidor. Den propaganda som kommit till användning har nått sitt syfte, ett syfte som var väntat. Men den har också uppnått ett annat syfte som inte var vare sig väntat eller önskat av oppositionen. Om näringslivets utveckling fortsätter att stagnera så att full sysselsättning inte kan upprätthållas reses obönhörligt kraven att staten ingriper för att skapa vidgad produktion. I en sådan situation må oppositionen vara medveten om att det inte längre går att skrämma med",seg,train
Nr 31,note,train
Onsdagen den 1 mars 1972,note,train
Finansdebatt,note,train
135,note,train
Onsdagen den 9 mars e. m. 89,note,test
"vilja gå med på någon avgränsning av tjänstebrevsrätten i den omfattning som av myndigheterna föreslagits, så återstår även att taga ställning till hos Kungl. Maj:t inneliggande ansökningar om tjänstebrevsrätt. Hos Kungl. Maj:t ligga icke mindre än 56 ansökningar från skilda institutioner, anstalter och sammanslutningar, och om jag icke missminner mig, kom för några dagar sedan ytterligare en ansökning om tjänstebrevsrätt. Dessa ansökningar ha fått ligga 1 avvaktan på att man skulle taga upp frågan om uppdragande av vissa gränslinjer beträffande tjänstebrevsrätten, och skulle riksdagen nu säga, vi vilja icke veta av någon begränsning, så återstår för Kungl. Maj:t ingenting annat praktiskt taget än att giva dem som anse sig vara berättigade därtill tillfälle att inkomma med ansökningar. Jag anser därför fortfarande, att från de olika synpunkterna och icke minst från ren ordningssynpunkt så att säga det skulle vara av värde, ifall man finge en avgränsning av tjänstebrevsrätten sådan som myndigheterna föreslagit. Jag tror i olikhet mot herr Nylander, att vissa besparingar skulle kunna göras, även om man gör så som jag anser att man i åtskilliga fall borde göra, nämligen giva ersättning i form av anslag till sådana sammanslutningar, institutioner och anstalter, vilka skulle fråntagas tjänstebrevsrätten. Genom direkta anslag till ersättning åt dessa tror jag att man 1i varje fall icke skulle på långt när behöva giva ett anslag i sådan omfattning och till det belopp som förmånen av tjänstebrevsrätt nu uppskattas till. Jag kan icke annat än ha den uppfattningen att till exempel skytteföreningarnas centralstyrelse skulle kunna ombesörja sin korrespondens för ett mindre belopp än 61,000 kronor, och även tillåter jag mig hysa den åsikten att landstormsföreningarnas centralförbund skulle kunna ombesörja sin korrespondens med ett belopp mindre än 50,000 kronor, och detsamma gäller åtskilliga andra. Men det skulle kanhända medföra att vederbörande institutioner, anstalter och sammanslutningar, som finge sig vissa belopp anvisade såsom ersättning för tjänstebrevsrätten, skulle skicka posten med litet större urskillning än som nu är fallet. Vi känna litet var till, hurusom man från vissa håll bombarderas rent av med brev och andra försändelser innehållande propagandaskrifter och dylikt. Jag har här i min hand en promemoria från postverket, däri man anför exempel på huru man nu förfar med tjänstebrevsrätten. Där säges det att vissa hushållningssällskap och Röda korset inkassera medlemsavgifter per tjänstepostförskott. Vad särskilt Röda korsets postförskott beträffar återgå sådana till avsändaren i osedvanligt stort antal såsom outlösta, varför den relativt dyrbara postförskottsproceduren synes användas jämväl för förvärvande av nya medlemmar. Vissa sammanslutningar, som utgiva tidningar eller tidskrifter, utsända dessa såsom tjänsteförsändelser. Röda korset har med begagnande av sin tjänstebrevsrätt i stort antal utsänt en av Aktiebolaget Wilhelm Becker i Stockholm utgiven katalog över av bolaget tillhandahållna förbandsartiklar samt en broschyr »Allt för barnet», som jämväl måste betraktas såsom reklam för den privata leverantören av artiklar för sjukoch barnavård. Centralstyrelsen för Sveriges frivilliga skytteföreningar och lokala skytteförbund låta genom postverket distribuera reklambroschyrer rörande av dem anordnade varulotterier och dylikt.",seg,test
"Jag tror därför, som jag nämnde, att dessa föreningar och sammanslutningar, som enligt föreliggande förslag skulle mista sin tjänstebrevsrätt, skulle kunna med ett anslag betydligt mindre än det, vartill deras tjänstebrevsrätt nu uppgår, besörja sin legitima och nödvändiga korrespondens; och med hänsyn till detta och önskvärdheten av att man får en viss linje uppdragen att gå efter vid beviljande av tjänstebrevsrätt och icke minst med hänsyn till att det gäller ställningstagande till nu inneliggande mellan 50 och 60 ansökningar om tjänstebrevsrätt, tror jag, att det skulle vara mycket önskvärt, om kammaren ville uttala sig i denna sak. För min del skulle jag helst se, att detta uttalande",seg,train
Nr 18.,note,val
Ang. revision av tjänstebrevsrätten. (Forts.),note,train
Lördagen den 30 maj 1964,note,train
Nr 30 131,note,train
Svar på fråga ang. ersättning för ekonomiska förluster i samband med smittkopps-,note,test
epidemien år 1963,note,train
"tas — en önskan som säkert delas av statsrådet. Med detta anförande, under vilket",note,train
"herr förste vice talmannen övertog ledningen av förhandlingarna, var Överläggningen slutad.",note,test
87,note,train
Svar på fråga ang. ersättning för ekonomiska förluster i samband med smittkoppsepidemien år 1963,note,val
Ordet lämnades på begäran till,note,train
"Chefen för socialdepartementet, herr statsrådet ASPLING, som yttrade:",intro,test
"Herr talman! Herr Berglund har frågat, om framställda ersättningskrav i anledning av ekonomiska förluster i anslutning till smittkoppsepidemien förra året kunnat tillfredsställande regleras med stöd av kungörelsen den 18 maj 1956 (nr 296) om ersättning av statsmedel i vissa fall vid ingripanden i hälsovårdens intresse.",seg,val
"Någon framställning om ersättning av det slag herr Berglund avser har inte behandlats av Kungl. Maj:t. Enligt vad jag inhämtat har endast en framställning inkommit till statskontoret, som är den myndighet vilken i första hand prövar ersättningskrav enligt den nämnda kungörelsen. Denna framställning är för närvarande föremål för behandling i statskontoret.",seg,train
Vidare anförde,note,train
Herr BERGLUND (fp):,intro,train
Herr talman! Det ärende som statsrådet åberopar är det som ligger till grund för denna fråga. Jag skall försöka att med några få ord redogöra för innehållet.,seg,train
Vi har väl alla i friskt minne den smittkoppsepidemi som för ett år sedan utbröt i Stockholm. En dag ringer en äldre dam här i Stockholm till en väninna och ber henne komma hem till,seg,val
"sig, därför att hon legat sjuk några dagar och fått mycket svåra utslag och är i ett mycket ömkansvärt tillstånd. Damen i fråga åker till den sjuka och finner det synnerligen önskvärt att denna kommer under läkarbehandling, vilket också sker. Fjorton dagar därefter kan det konstateras, att kvinnan som besökte den äldre damen för att hjälpa henne har råkat ut för smittkoppor.",seg,test
"Denna kvinna är chef för en målerifirma i Stockholm. Med anledning av det konstaterade smittkoppsfallet blir firman avstängd från vidare möjligheter att utöva sin verksamhet. Firman ligger inne med stora order. Anbud och besiktningar skall göras, men hela firman isoleras. Nu har kvinnan i fråga på grund av en läkares inrådan skrivit till medicinalstyrelsen och begärt att få viss ersättning för den förlust som inställandet av firmans verksamhet under sjukdomstiden medfört.",seg,train
"Skrivelsen lämnades till medicinalstyrelsen den 21 juli 1963, och medicinalstyrelsen svarade redan den 26 juli. I skrivelsen hänvisar medicinalstyrelsen till kungörelsen nr 296/1956 om ersättning av statsmedel i vissa fall vid ingripanden i hälsovårdens intresse. Det sägs i skrivelsen att det endast gäller fall då ingripande av myndighet ägt rum mot företag genom förstöring av varor eller stängning av rörelsen. Medicinalstyrelsen har meddelat, att det inte är troligt att hon kan få någon ersättning.",seg,val
"Kvinnan har nu genom en fyllig beskrivning preciserat sina ersättningsanspråk för statskontoret, som skall handlägga ärendet.",seg,train
Herr talman! Jag vill inte ta upp någon tid med att rekapitulera. Handlingarna finns på statskontoret. Hon har begärt 10000 kronor i ersättning och har specificerat kronor 11 028: 50. Denna skrivelse kunde hon inte sända till statskontoret förrän den 28 september då hon var friskförklarad.,seg,val
Nr 33.,note,val
Ang. vissa i statsrevisorernas berättelse berörda ämnen.,note,test
(Forts.),note,train
"5t Lördagen den 12 maj, e. m.",note,val
"Järnvägsstyrelsen för den politik, som den fört i Mora—Vänernfrågan.",unknown,train
"Herr Norman gjorde sig lustig över att jag sagt, att det var reservationer på var och varannan punkt i statsrevisorernas betänkande. För reservationerna har det förbrukats bokstäverna a)—n) i alfabetet och följaktligen halva alfabetet, men i fjol var det visst ännu större del av alfabetet, som var förbrukat för numrering av reservationerna.",seg,train
Herr Olsson i Mora:,intro,train
"Herr talman! Det bereder i allmänhet ingen överraskning att höra statsutskottets ärade vice ordförande gå till försvar för järnvägsstyrelsen, men jag blev ändå ganska förvånad över att höra hans uttalande att styrelsen ifråga om skötseln av Mora— Vänerns järnväg avvärjt kritiken på ett sätt, som för varje oförvillat omdöme måste verka övertygande. Jag föranleddes att begära ordet för att som ortsrepresentant avlägga ett kort vittnesmål 1 denna sak.",seg,train
"Till en början skulle jag vilja säga, att jag tror, att det finns skäl att göra gällande, såsom statsrevisorerna hävdat, att det förstärkningsarbete, som företagits vid banan, skett i galen ordning. Den undersökning, som företagits, hade bort föregå själva förstärkningsarbetet. Jag tror vidare, att det finns skäl för att hävda den meningen, att personalökningen vid järnvägen blivit för stor, detta även med hänsyn tagen till den minskning, som på senaste tiden vidtagits. Minskningen bör bli ännu kraftigare för att stå i rimlig proportion till förhållandena, när staten övertog banan, och trafikens utveckling sedan dess.",seg,test
"Jag anser det slutligen vara min plikt att framhålla, att på åtskilliga områden i avseende å järnvägens förvaltning särskilt under kristiden kan konstateras något, som måste karakteriseras som slöseri. Statsrevisorerna ha pekat på en sådan sak, som jag skall beröra, nämligen uppförandet av Ryssåns station. Denna station betraktas allmänneligen där uppe i bygden såsom en fullständigt skandalbyggnad. Ingen kan göra gällande, att det finnes behov av en sådan stationsbyggnad i vildmarken, som denna utgör, och även om man försöker så långt det är möjligt motivera byggnaden såsom en blivande mötesplats, så finnas där en del anordningar, som icke ur några synpunkter kunna försvaras. Bara en sådan liten detalj som att man inrättat en massa postfack på en plats, där ingen bor och ingen drömmer om att någonsin i världen inrätta postanstalt, är betecknande för systemet.",seg,val
"Allt detta gör att jag tycker, att man varit något för nitisk 1 den storartade rentvättning, som här skett. Efter den är emellertid herr Normans yrkande troligen utsiktslöst, och jag skall icke besvära kammaren med att göra något yrkande.",seg,val
Herr Lithander:,intro,train
"Herr talman! Jag trodde verkligen, att jag hade uttryckt mig på sådant sätt, att det även för herr Engberg skulle ha stått fullt klart vad jag avsett och så att han skulle ha",seg,train
Fredagen den 17 januari 1947 fm. Nr 2. 5,note,train
Statsverkspropositionen m. m. (Forts.) sera den av vår allvisa regering förda politiken och det uttryck denna politik fått i finansministerns principiella uttalanden i statsverkspropositionen.,seg,train
"Hans excellens herr statsministern deklarerade i denna kammare i höstas, att eftersom icke Hjalmar Branting och icke Per Albin Hansson »kunnat klargöra för de borgerliga partiledamöterna vad det socialdemokratiska partiet åsyftade med sin ekonomiska politik», så gav han upp hoppet. Det förefaller mig, som om hans pedagogiska uppgivelseanda och stilistiska defaitism fått karaktären av statsrådsepidemi.",seg,train
"Under alla förhållanden tycks den ha smittat finansministern. Hans obe; stridliga talang att i till synes enkla formuleringar tala ekonomiskt orakelspråk har genom flitig konditionsträning utvecklats till virtuositet. Frågan är bara, om piruetterna i längden göra det möjligt att bibehålla balansen. Den ekonomiska verklighetens is är i dag väl skrovlig för konståkning.",seg,val
"Finansministerns förslag och konstateranden äro av andrarangsbetydelse i jämförelse med det faktum, som konjunkturinstitutet inregistrerar i orden: »Förcningen av bestående starkt kostnadstryck och avsevärd ökning i total efterfrågan, som icke kan väntas finna motsvarighet i ökad varutillgång, hotar sålunda att vålla allvarlig störning i den samhällsekonomiska balansen under ar 1947.»",seg,train
Det är väl detta uttalande som ligger under vad hans excellens herr statsministern nyss talade om.,seg,val
"Under det att regeringen utfärdat kommuniké efter kommuniké om sina segerrika nederlag i kampen mot inflationen, har alltså utvecklingen i accelererad takt gått mot det läge, vi fruktat skulle komma. För denna utveckling ha både vi och andra gång på gång varnat.",seg,train
"Läget är allvarligt, och detta framgick också av hans excellens herr statsministerns yttrande, även om han tycktes ha en viss benägenhet att underskatta lägets allvar. Jag har ingen önskan att politiskt utnyttja det svåra läget, men jag anser mig förpliktigad att konstatera, att regeringen i hög grad bär ansvaret för att detta hotande tillstånd uppkommit. Vad viktigare är, finansministern och hans kolleger äro förpliktade att anvisa vägar ur moraset. Den tid är gången, då regeringen kunde åka släpvagn efter konjunkturen. Det har den självt styrt om.",seg,train
"När hans excellens herr statsministern talar om att det kräves att alla krafter enas om åtgärder för att motverka den svåra situationen, skulle jag vilja säga att det från den borgerliga oppositionens sida sannerligen inte under de gångna åren saknats vare sig vilja eller uttryck för denna vilja till ett sådant samarbete. Men vi skola inte glömma bort utvecklingen under de senaste åren. Det var socialdemokraterna som uppsade det politiska samarbete, som vi under kriget hade i vårt land. Socialdemokraterna ansågo, att de skulle ta makten och styra efter sitt program, eftersom detta var det riktiga och lyckliga. Det ha de också gjort. I samband med uppsägningen av samlingsregeringen uttalade vi år 1945, att enligt vår mening tidsförhållandena fortfarande motiverade en samgång, men att det inte fanns anledning för oss att på något sätt söka hänga oss fast vid samarbetet, när socialdemokraterna inte längre önskade ett sådant. Orsaken till denna vår inställning var, att vi ansågo utvecklingen efter kriget ganska farofylld, inte minst ur ekonomisk synpunkt. Det har visat sig, att denna vår uppfattning var riktig.",seg,test
"En uppsplittring av nationen har nu inträtt som följd av att vi fått en majoritetsregering i stället för en samlingsregering, och det är helt naturligt, att det har blivit en kamp om den politiska makten och att de olika politiska grupperna framlagt sådana förslag för folket, som skulle vara tilltalande och ge respektive partier ökat antal röster. Majoritetspartiet har fört en ekonomisk",seg,test
48 Nr 32. Onsdagen den 29 maj 1940.,note,train
"Ang. höjning av tobaksskatten. (Forts.) handel. Man ansåg sig emellertid inte kunna orka med att i längden fortsätta med detta inlösningsförfarande. alldenstund man inte hade någon befogenhet att neka personer att upprätta nya affärer i stället för de nedlagda. VWVisserligen kunde man försvåra för nya affärer att komma till genom att neka rabatt, men alla ha nu lärt sig konsten att gå till en annan återförsäljare och således på omväg köpa de tobaksvaror, som man önskar försälja. När en affärsinnehavare fortsatt på det sättet i ett par tre år, får tobaksmonopolet oftast lov att ge vederbörande rabatträtt, ty han har ju ändå drivit sin affär en så lång tid fastän under ogynnsamma förhållanden och kommer också att fortsätta därmed till samma förfång för andra.",seg,train
"Jag har, herr talman, i detta sammanhang velat påpeka dessa fakta för att åtminstone i vad på mig ankommer söka bidraga till att kammarens ledamöter inte leva i den uppfattningen, att man enbart genom rabattregleringar kan få till stånd en tillfredsställande ordning på tobakshandelns område. Det måste ske på annat sätt.",seg,train
"Vad nu närmast det här föreliggande förslaget beträffar, vill jag endast till slut framhålla, att är det så, att riksdagen vill säga, att vi skola öka rabatterna till återförsäljarna utöver vad som här är föreslaget och utöver vad som från tobaksmonopolets sida har ansetts tillbörligt och skäligt, är det ju bara angenämt för dem, som sköta om monopolets angelägenheter, att kunna effektuera denna önskan. Hade man emellertid inte, sågzom här föreslås, minskat rabatten med en procent, hade detta betytt, att mer än ett par miljoner kronor till av skattemedel skulle ha stannat hos handlarna. Vi ha ansett, att om man vill inskränka ersättningen till handlarna till endast det belopp, som skatteökningen i och för sig förorsakat dem i merutgifter, har man med vad som här föreslås fullt ut tillgodosett detta syfte. Vill man däremot ge dem kompensation för den allmänna fördyringen, är det mycket möjligt, att detta belopp inte räcker till. Men går man på den linjen, har man också med öppna ögon gått in för att erkänna, att staten har huvudansvaret för alla dessa olika kategorier av återförsäljare av tobak, ett huvudansvar ungefär jämställt med det, som staten har för övriga statstjänare. Detta är problemet.",seg,train
"Jag yrkar, herr talman, bifall till utskottets hemställan.",seg,val
"Herr Ström, Torsten:",intro,test
"Herr talman! Jag inkasserar en liten vinst redan därigenom att herr Bärg hållit detta långa och uttömmande anförande och klarlagt en hel del förhållanden. Dessa ord äro ju dock sagda av tobaksmonopolets vice ordförande, och vi förstå, att han utomordentligt bra bebärskar den sak, han här talade om. Vi förvänta inom: tobakshandlarkåren att även 1 fortsättningen få påräkna det stöd, som herr Bärg tidigare visat sig vilja ge oss.",seg,train
"'Tobaksmonopolet tillkom år 1914 i en för landet besvärlig tid. Staten behövde pengar, och så beslöts tobaksmonopolet av riksdagen, som bestod av stark borgerlig majoritet. Återförsäljare av tobaksvaror skulle, om de hade specialaffärer, åtnjuta en rabatt av 24 procent och i övriga fall 16 procent. Rabatten dalade sedan ned från 24 till 16 procent för allesamman och specialtobakshandlarna fingo så kallad utlösning genom viss engångsersättning från tobaksmonopolet. Sedan sänktes rabatten ytterligare från 16 till 13 procent, från 13 till 12 procent och från 12 till 11 procent, där stå vi i dag. Inom tobakshandlarkåren önska vi nu få veta, hur långt tobaksmonopolet i fortsättningen tänker gå med sina rabattsänkningar och om vi kanske till slut rent av skola betala för att få distribuera monopolets tobaksvaror?",seg,val
"Herr Nilsson, Johan, i Malmö:",intro,train
"Vi, som ha suttit här i kammaren en del år, ha ganska ofta hört sådana debatter beträffande tobaksmonopolet och om",seg,val
Onsdagen den 27 april 1938. Nr 29. 5,note,train
"Om utredning rörande det offentliga nöjeslivet m. m. (Forts.) att riksdagen måtte besluta att i skrivelse till Kungl. Maj:t hemställa om en allsidig utredning angående det offentliga nöjeslivet och dithörande förhållanden i vårt land, särskilt med hänsyn till de faror, som hotade ungdomen från vissa nöjestillställningar. Motionärerna hade anhållit, att denna utredning särskilt måtte inriktas på att undersöka:",note,train
"1) möjligheten av skärpt kontroll över filmförevisningar, så att underhaltig NR för ungdomen skadlig film i vidsträcktare omfattning än nu skedde för-",note,train
jödes;,note,train
"2) skärpt kontroll över offentliga danstillställningar, varjämte borde övervägas, om dispens från gällande bestämmelser borde medgivas i den utsträckning som nu skedde;",note,train
"3) åtgärder mot spridning av pornografiska och för ungdomen skadliga tryckalster, särskilt vid undervisningsanstalter av skilda slag.",note,val
"Tillika hade motionärerna hemställt, att Kungl. Maj:t måtte vidtaga de åtgärder eller för riksdagen framlägga de förslag, vartill utredningen kunde föranleda.",note,train
"Utskottet hade i det nu föredragna utlåtandet av angivna orsaker hemställt, att förevarande motion ej måtte till någon första kammarens åtgärd föranleda.",note,train
"Reservation hade avgivits av herrar Johan Larsson och Bodin, vilka på anförda skäl hemställt,",note,train
"att riksdagen måtte besluta att i skrivelse till Kungl. Maj:t hemställa om en allsidig utredning angående det offentliga nöjeslivet och dithörande förhållanden i vårt land, särskilt med hänsyn till de faror, som hotade ungdomen från vissa nöjestillställningar;",note,val
att denna utredning särskilt måtte inriktas på att undersöka:,note,test
"1) möjligheten av skärpt kontroll över filmförevisningar, så att underhaltig och för ungdomen skadlig film i vidsträcktare omfattning än nu skedde förbjödes;",note,train
"2) skärpt kontroll över offentliga danstillställningar, varjämte borde övervägas, om dispens från gällande bestämmelser borde medgivas i den utsträckning som nu skedde;",note,test
"3) åtgärder mot spridning av pornografiska och för ungdomen skadliga tryckalster, särskilt vid undervisningsanstalter av skilda slag; samt",note,train
"att Kungl. Maj:t måtte vidtaga de åtgärder eller för riksdagen framlägga de förslag, vartill utredningen kunde föranleda.",note,train
"Herr Larsson, Johan:",intro,train
"Herr talman! Vid utskottets behandling av detta ärende har jag kommit att intaga en annan ställning än utskottsmajoriteten, varför jag med några ord ber att få motivera min ståndpunkt.",seg,train
"I motionen hemställes om en allsidig utredning angående det offentliga nöjeslivet och dithörande förhållanden i vårt land, särskilt med hänsyn till de faror, som hota ungdomen från vissa nöjestillställningar. Utskottet har också i första raden av sitt utlåtande medgivit, att motionärerna utan tvivel ha rätt då de göra gällande, att vissa tendenser i fråga om nöjeslivets utveckling äro beklämmande. Såväl motionärerna som utskottet äro sålunda ense om att på förevarande område allt ej är bra som det är, utan att brister förefinnas. Dessa brister anser jag vara mycket allvarliga, och jag anser att de snarast böra avhjälpas. Samhället har på många andra områden, såväl på de sociala som ekonomiska, på alla sätt sökt skydda och hjälpa de olika individerna. Konsekven-",seg,test
Nr 17.,note,train
Anslag till byggande av landsvägar (Forts.),note,train
6 Lördagen den 15 mars.,note,train
"med på den motion, som av trenne mina länskamrater i andra kammaren är väckt 1 anslutning till vad vägoch vattenbyggnadsstyrelsen äskat, nämligen om ett belopp av 5,800,000 kronor jämte ett från två tredjedelar till tre fjärdedelar ökat bidrag, och jag skulle sålunda kunnat varit med om den reservation, som avgivits av herr Kvarnzelius m. fl. under förutsättning av att det högre anslaget beviljats. För min del vore jag villig att gå med på detta högre anslag, så mycket hellre, som jag anser, att det kapital, som nedlägges i vårt vägsystem, är synnerligen väl använt och, sett ur synpunkten av indirekt nationalekonomisk vinst, väl förräntat. Emellertid fanns det ingen utsikt, att detta högre anslag skulle kunna vinna riksdagens bifall, varför jag stannade vid att ansluta mig till utskottets förslag om 5 miljoner. Därmed ansåg ja mig även böra stanna vid utskottets förslag angående bibehållande av de 667]; procenten, därför att om vi öka bidragsprocenten från 66 7/; till 75 procent, d. v. s. med 8 enheter på 66 eller med 12 procent, skulle detta enligt mitt förmenande betyda, att vi skulle komma att minska den nybyggda vägsträckan med 12 procent. Det väsentliga är naturligtvis, att nya vägar komma till i så stor omfattning som möjligt. Jag är därjämte säker om att de vägdistrikt, som i 10-tal år stått i kö och väntat på anslag, hellre ta dessa 66 ”/; procent nu, än de dröja ännu en del år för att då ha utsikt att få 75 procent. På grund härav har jag ansett mig böra yrka bifall till utskottets förslag såväl beträffande beloppet som beträffande ""bidragsprocenten.",seg,train
Häri instämde herr Asplund.,intro,train
"Greve Lagerbjelke: Jag har begärt ordet för att instämma med herr Lindblad i yrkandet om bifall till hans reservation. Han har själv här nyss haft ett anförande för detta yrkande; och jag får instämma i vad han sagt. Men jag vill ytterligare tillägga, att det synes mig vara mycket betänkligt, att riksdagen år efter år i allt större utsträckning icke drar sig för att öka de av Kungl. Maj:t gjorda anslagsäskandena. För ett antal år tillbaka ansågs statsutskottets förnämsta uppgift ligga i, visserligen utredningar, men även nedskärningar av de av Kungl. Maj:t begärda anslagen. Nu är det en helt annan anda, som går igenom, och även om statsutskottet givetvis har rätt att begära och riksdagen att bevilja dessa högre anslag —- däremot är formellt ingenting att invända så nog bör det väl vara Kungl. Maj:t, som i stort sett och väsentligen är ansvarig för, att budgeten håller. Nu ha vi en rad hemställanden från statsutskottet i vägfrågor, där utskottet mer eller mindre hemställt om ökade anslag utöver vad Kungl. Maj:t begärt.",seg,test
